[Gene ID]	[Transcript ID]	[Product Description]	[Gene Type]	[Gene Name or Symbol]	[Entrez Gene ID]	[UniProt ID]	
PF3D7_1330400	PF3D7_1330400.1	ER lumen protein retaining receptor 1, putative, unspecified product	protein coding	N/A	813716	Q8IE22	
PF3D7_1330400	PF3D7_1330400.2	ER lumen protein retaining receptor 1, putative, unspecified product	protein coding	N/A	813716	Q8IE22	
PF3D7_1330500	PF3D7_1330500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814134	Q8IE21	
PF3D7_1330600	PF3D7_1330600.1	elongation factor Tu, putative	protein coding	N/A	813717	Q8IE20	
PF3D7_1330700	PF3D7_1330700.1	GPI transamidase subunit PIG-U, putative	protein coding	N/A	813718	Q8IE19	
PF3D7_1330800	PF3D7_1330800.1	RNA-binding protein, putative	protein coding	N/A	814135	Q8IE18	
PF3D7_1330900	PF3D7_1330900.1	small nucleolar RNA snoR17	snoRNA encoding	N/A	N/A	N/A	
PF3D7_1331000	PF3D7_1331000.1	protein kinase, putative	protein coding	N/A	814136	Q8IE17	
PF3D7_1331100	PF3D7_1331100.1	DNA polymerase theta, putative	protein coding	POLQ	813719	C0H5F0	
PF3D7_1331200	PF3D7_1331200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814137	Q8IE15	
PF3D7_1331300	PF3D7_1331300.1	signal peptidase 21 kDa subunit	protein coding	SP21	813720	Q8IE14	
PF3D7_1331400	PF3D7_1331400.1	CPW-WPC family protein	protein coding	N/A	814138	Q8IE13	
PF3D7_1331500	PF3D7_1331500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814139	Q8IE12	
PF3D7_1331600	PF3D7_1331600.1	protein tyrosine phosphatase-like protein, putative	protein coding	PTPLA	813721	C0H5F1	
PF3D7_1331700	PF3D7_1331700.1	glutamine--tRNA ligase, putative	protein coding	N/A	814140	Q8IE10	
PF3D7_1331800	PF3D7_1331800.1	60S ribosomal protein L23, putative	protein coding	N/A	814141	Q8IE09	
PF3D7_1331900	PF3D7_1331900.1	small nucleolar RNA snoR18	snoRNA encoding	N/A	N/A	N/A	
PF3D7_1332000	PF3D7_1332000.1	syntaxin, Qa-SNARE family	protein coding	SYN5	813722	Q8IE08	
PF3D7_1332100	PF3D7_1332100.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	814142	Q8IE07	
PF3D7_1332200	PF3D7_1332200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814143	Q8IE06	
PF3D7_1332300	PF3D7_1332300.1	trafficking protein particle complex subunit 2, putative	protein coding	TRAPPC2	814144	Q8IE05	
PF3D7_1332400	PF3D7_1332400.1	nucleotidyltransferase, putative	protein coding	N/A	813724	Q8IE04	
PF3D7_1332500	PF3D7_1332500.1	SAM-dependent RNA methyltransferase, putative	protein coding	N/A	814145	Q8IE03	
PF3D7_1332600	PF3D7_1332600.1	apurinic/apyrimidinic endonuclease Apn1, putative	protein coding	APN1	814146	Q8IE02	
PF3D7_1332700	PF3D7_1332700.1	ATP-dependent RNA helicase DBP8, putative	protein coding	DBP8	814147	Q8IE01	
PF3D7_1332800	PF3D7_1332800.1	eukaryotic translation initiation factor 6, putative	protein coding	N/A	814148	Q8IE00	
PF3D7_1332900	PF3D7_1332900.1	isoleucine--tRNA ligase, putative	protein coding	N/A	814149	Q8IDZ9	
PF3D7_1333000	PF3D7_1333000.1	20 kDa chaperonin	protein coding	CPN20	814150	Q8IDZ8	
PF3D7_1333100	PF3D7_1333100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814151	Q8IDZ7	
PF3D7_1333200	PF3D7_1333200.1	ubiquitin-activating enzyme	protein coding	UBA1	814152	Q8IDZ6	
PF3D7_1333300	PF3D7_1333300.1	transmembrane protein Tmp21 homologue, putative	protein coding	N/A	813725	Q8IDZ5	
PF3D7_1333400	PF3D7_1333400.1	conserved protein, unknown function	protein coding	N/A	813726	C0H5F2	
PF3D7_1333500	PF3D7_1333500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814153	Q8IDZ3	
PF3D7_1333600	PF3D7_1333600.1	U3 small nucleolar RNA-associated protein 4, putative	protein coding	UTP4	814154	Q8IDZ2	
PF3D7_1333700	PF3D7_1333700.1	histone H3-like centromeric protein CSE4	protein coding	CenH3	814155	Q8IDZ1	
PF3D7_1333800	PF3D7_1333800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814156	Q8IDZ0	
PF3D7_1333900	PF3D7_1333900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814157	Q8IDY9	
PF3D7_1334000	PF3D7_1334000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814158	Q8IDY8	
PF3D7_1334100	PF3D7_1334100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814159	Q8IDY7	
PF3D7_1334200	PF3D7_1334200.1	chaperone binding protein, putative	protein coding	N/A	814160	Q8IDY6	
PF3D7_1334300	PF3D7_1334300.1	MSP7-like protein	protein coding	MSRP5	814161	Q8IDY5	
PF3D7_1334400	PF3D7_1334400.1	MSP7-like protein	protein coding	MSRP4	813727	Q8IDY4	
PF3D7_1334500	PF3D7_1334500.1	MSP7-like protein	protein coding	MSRP6	814162	Q8IDY3	
PF3D7_1334600	PF3D7_1334600.1	MSP7-like protein	protein coding	MSRP3	814163	C0H5F3	
PF3D7_1334700	PF3D7_1334700.1	MSP7-like protein	protein coding	MSRP7	814164	Q8IDY1	
PF3D7_1334800	PF3D7_1334800.1	MSP7-like protein	protein coding	MSRP2	813728	Q8IDY0	
PF3D7_1334900	PF3D7_1334900.1	MSP7-like protein, fragment, pseudogene	protein coding	N/A	4794215	N/A	
PF3D7_1335000	PF3D7_1335000.1	MSP7-like protein	protein coding	MSRP1	814165	Q8IDX9	
PF3D7_1335100	PF3D7_1335100.1	merozoite surface protein 7	protein coding	MSP7	814166	Q8IDX8	
PF3D7_1335200	PF3D7_1335200.1	reticulocyte binding protein homologue 6, pseudogene	protein coding	RH6	N/A	N/A	
PF3D7_1335300	PF3D7_1335300.1	reticulocyte binding protein 2 homologue b	protein coding	RH2b	813730	C0H5F4	
PF3D7_1335400	PF3D7_1335400.1	reticulocyte binding protein 2 homologue a	protein coding	RH2a	814167	Q8IDX6	
PF3D7_1335500	PF3D7_1335500.1	DNA replication complex GINS protein, putative	protein coding	N/A	813731	C0H5F5	
PF3D7_1335600	PF3D7_1335600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813732	Q8IDX4	
PF3D7_1335700	PF3D7_1335700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814168	Q8IDX3	
PF3D7_1335800	PF3D7_1335800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814169	Q8IDX2	
PF3D7_1335900	PF3D7_1335900.1	thrombospondin-related anonymous protein	protein coding	TRAP	814170	Q76NM2	
PF3D7_1336000	PF3D7_1336000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813733	Q8IDX1	
PF3D7_1336100	PF3D7_1336100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814171	C0H5F6	
PF3D7_1336200	PF3D7_1336200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813735	Q8IDW9	
PF3D7_1336300	PF3D7_1336300.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	813736	Q8IDW8	
PF3D7_1336400	PF3D7_1336400.1	RanBPM and CLTH-like protein, putative	protein coding	N/A	813737	Q8IDW7	
PF3D7_1336500	PF3D7_1336500.1	small nucleolar RNA snoR19	snoRNA encoding	N/A	N/A	N/A	
PF3D7_1336600	PF3D7_1336600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813738	Q8IDW6	
PF3D7_1336700	PF3D7_1336700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814172	Q8IDW5	
PF3D7_1336800	PF3D7_1336800.1	nuclear movement protein, putative	protein coding	NUDC	814173	Q8IDW4	
PF3D7_1336900	PF3D7_1336900.1	tryptophan--tRNA ligase	protein coding	cTrpRS	814174	Q8IDW3	
PF3D7_1337000	PF3D7_1337000.1	mitochondrial intermediate peptidase, putative	protein coding	OCT1	813739	Q8IDW2	
PF3D7_1337100	PF3D7_1337100.1	protein kinase 6	protein coding	PK6	813740	Q8IDW1	
PF3D7_1337200	PF3D7_1337200.1	1-deoxy-D-xylulose 5-phosphate synthase	protein coding	DXS	813741	Q8IDW0	
PF3D7_1337300	PF3D7_1337300.1	exoribonuclease, putative	protein coding	N/A	814175	Q8IDV9	
PF3D7_1337400	PF3D7_1337400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814176	Q8IDV8	
PF3D7_1337500	PF3D7_1337500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814177	C0H5F7	
PF3D7_1337600	PF3D7_1337600.1	tRNA Serine	tRNA encoding	N/A	9222014	N/A	
PF3D7_1337700	PF3D7_1337700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813742	Q8IDV6	
PF3D7_1337800	PF3D7_1337800.1	calcium-dependent protein kinase 5	protein coding	CDPK5	814178	Q8IDV5	
PF3D7_1337900	PF3D7_1337900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814179	Q8IDV4	
PF3D7_1338000	PF3D7_1338000.1	LMBR1 domain-containing protein, putative	protein coding	N/A	813743	C0H5F8	
PF3D7_1338100	PF3D7_1338100.1	26S proteasome regulatory subunit RPN3, putative	protein coding	RPN3	813745	Q8IDV2	
PF3D7_1338200	PF3D7_1338200.1	60S ribosomal protein L6-2, putative	protein coding	N/A	814180	Q8IDV1	
PF3D7_1338300	PF3D7_1338300.1	elongation factor 1-gamma, putative	protein coding	N/A	814181	Q8IDV0	
PF3D7_1338400	PF3D7_1338400.1	SprT-like domain-containing protein, putative	protein coding	N/A	813746	Q8IDU9	
PF3D7_1338500	PF3D7_1338500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813747	Q8IDU8	
PF3D7_1338600	PF3D7_1338600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813748	C0H5F9	
PF3D7_1338700	PF3D7_1338700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813749	Q8IDU6	
PF3D7_1338800	PF3D7_1338800.1	CPW-WPC family protein	protein coding	N/A	813750	C0H5G0	
PF3D7_1338900	PF3D7_1338900.1	serine/threonine protein kinase, putative	protein coding	N/A	813751	Q8IDU4	
PF3D7_1339000	PF3D7_1339000.1	probable protein, unknown function	protein coding	N/A	813752	Q8IDU3	
PF3D7_1339100	PF3D7_1339100.1	tRNA Methionine	tRNA encoding	N/A	9221978	N/A	
PF3D7_1339200	PF3D7_1339200.1	tRNA Proline	tRNA encoding	N/A	9222009	N/A	
PF3D7_1339300	PF3D7_1339300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814182	Q8IDU2	
PF3D7_1339400	PF3D7_1339400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814183	Q8IDU1	
PF3D7_1339500	PF3D7_1339500.1	mitochondrial ribosomal protein L49 precursor, putative	protein coding	N/A	813758	Q8IDU0	
PF3D7_1339600	PF3D7_1339600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813759	Q8IDT9	
PF3D7_1339700	PF3D7_1339700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813760	Q8IDT8	
PF3D7_1339800	PF3D7_1339800.1	mitotic-spindle organizing protein 1, putative	protein coding	N/A	814184	Q8IDT7	
PF3D7_1339900	PF3D7_1339900.1	ABC transporter B family member 5, putative	protein coding	ABCB5	814185	Q8IDT6	
PF3D7_1340000	PF3D7_1340000.1	secreted ookinete protein, putative	protein coding	PSOP7	813761	Q8IDT5	
PF3D7_1340100	PF3D7_1340100.1	exosome complex component RRP42, putative	protein coding	RRP42	813762	Q8IDT4	
PF3D7_1340200	PF3D7_1340200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	9221979	C0H5G1	
PF3D7_1340300	PF3D7_1340300.1	nucleolar complex protein 2, putative	protein coding	N/A	814186	Q8IDT3	
PF3D7_1340400	PF3D7_1340400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814187	Q8IDT2	
PF3D7_1340500	PF3D7_1340500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814188	Q8IDT1	
PF3D7_1340600	PF3D7_1340600.1	RNA lariat debranching enzyme, putative	protein coding	DBR1	814189	Q8IDT0	
PF3D7_1340700	PF3D7_1340700.1	ras-related protein Rab-11B	protein coding	RAB11b	813763	C0H5G2	
PF3D7_1340800	PF3D7_1340800.1	mitochondrial pyruvate carrier protein 1, putative	protein coding	MPC1	814190	Q8IDS8	
PF3D7_1340900	PF3D7_1340900.1	sodium-dependent phosphate transporter	protein coding	PiT	813764	Q8IDS7	
PF3D7_1341000	PF3D7_1341000.1	tRNA Arginine	tRNA encoding	N/A	9221980	N/A	
PF3D7_1341100	PF3D7_1341100.1	U6 spliceosomal RNA	snRNA encoding	N/A	9222004	N/A	
PF3D7_1341200	PF3D7_1341200.1	60S ribosomal protein L18, putative	protein coding	N/A	814191	Q8IDS6	
PF3D7_1341300	PF3D7_1341300.1	60S ribosomal protein L18-2, putative	protein coding	N/A	813765	C0H5G3	
PF3D7_1341400	PF3D7_1341400.1	small nucleolar RNA snoR20	snoRNA encoding	N/A	N/A	N/A	
PF3D7_1341500	PF3D7_1341500.1	inner membrane complex suture component, putative	protein coding	ISC1	814192	Q8IDS4	
PF3D7_1341600	PF3D7_1341600.1	GPI mannosyltransferase 3	protein coding	GPI10	813767	Q8IDS3	
PF3D7_1341700	PF3D7_1341700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813768	C0H5G4	
PF3D7_1341800	PF3D7_1341800.1	inner membrane complex protein 1k, putative	protein coding	IMC1k	814193	Q8IDS1	
PF3D7_1341900	PF3D7_1341900.1	V-type proton ATPase subunit D, putative	protein coding	N/A	814194	Q8IDS0	
PF3D7_1342000	PF3D7_1342000.1	40S ribosomal protein S6	protein coding	N/A	814195	Q8IDR9	
PF3D7_1342100	PF3D7_1342100.1	aconitate hydratase	protein coding	IRP	814196	Q8IDR8	
PF3D7_1342200	PF3D7_1342200.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	814197	Q8IDR7	
PF3D7_1342300	PF3D7_1342300.1	tetratricopeptide repeat protein, putative	protein coding	N/A	814198	Q8IDR6	
PF3D7_1342400	PF3D7_1342400.1	casein kinase II beta chain	protein coding	CK2beta2	814199	Q8IDR5	
PF3D7_1342500	PF3D7_1342500.1	sporozoite protein essential for cell traversal	protein coding	SPECT1	813769	Q8IDR4	
PF3D7_1342600	PF3D7_1342600.1	myosin A	protein coding	MyoA	814200	Q8IDR3	
PF3D7_1342700	PF3D7_1342700.1	DNA-directed RNA polymerases I, II, and III subunit RPABC4, putative	protein coding	RPB12	813770	Q8IDR2	
PF3D7_1342800	PF3D7_1342800.1	phosphoenolpyruvate carboxykinase	protein coding	PEPCK	814201	Q8IDR1	
PF3D7_1342900	PF3D7_1342900.1	transcription factor with AP2 domain(s)	protein coding	ApiAP2	814202	C0H5G5	
PF3D7_1343000	PF3D7_1343000.1	phosphoethanolamine N-methyltransferase	protein coding	PMT	813771	Q8IDQ9	
PF3D7_1343100	PF3D7_1343100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813772	Q8IDQ8	
PF3D7_1343200	PF3D7_1343200.1	tRNA guanosine-2'-O-methyltransferase, putative	protein coding	N/A	814203	Q8IDQ7	
PF3D7_1343300	PF3D7_1343300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814204	Q8IDQ6	
PF3D7_1343400	PF3D7_1343400.1	DNA repair protein RAD5, putative	protein coding	RAD5	813773	Q8IDQ5	
PF3D7_1343500	PF3D7_1343500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813774	Q8IDQ4	
PF3D7_1343600	PF3D7_1343600.1	UDP-N-acetylglucosamine pyrophosphorylase, putative	protein coding	N/A	813775	Q8IDQ3	
PF3D7_1343700	PF3D7_1343700.1	kelch protein K13	protein coding	K13	814205	Q8IDQ2	
PF3D7_1343800	PF3D7_1343800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	9222015	C0H5G6	
PF3D7_1343900	PF3D7_1343900.1	U4/U6 small nuclear ribonucleoprotein PRP4, putative	protein coding	PRPF4	9221985	C0H5G7	
PF3D7_1344000	PF3D7_1344000.1	aminomethyltransferase, putative	protein coding	N/A	9221986	C0H5G8	
PF3D7_1344100	PF3D7_1344100.1	krox-like protein, putative	protein coding	N/A	9221987	C0H5G9	
PF3D7_1344200	PF3D7_1344200.1	heat shock protein 110, putative	protein coding	HSP110	9221988	C0H5H0	
PF3D7_1344300	PF3D7_1344300.1	zinc finger protein, putative	protein coding	N/A	9222003	C0H5H1	
PF3D7_1344400	PF3D7_1344400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_1344500	PF3D7_1344500.1	U6 snRNA phosphodiesterase, putative	protein coding	USB1	813776	Q8IDQ1	
PF3D7_1344600	PF3D7_1344600.1	lipoyl synthase	protein coding	LipA	813778	Q8IDQ0	
PF3D7_1344700	PF3D7_1344700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814206	Q8IDP9	
PF3D7_1344800	PF3D7_1344800.1	aspartate carbamoyltransferase	protein coding	ATCase	813779	Q8IDP8	
PF3D7_1344900	PF3D7_1344900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813780	Q8IDP7	
PF3D7_1345000	PF3D7_1345000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813782	C0H5H2	
PF3D7_1345100	PF3D7_1345100.1	thioredoxin 2	protein coding	TRX2	813783	Q8IDP4	
PF3D7_1345200	PF3D7_1345200.1	rhomboid protease ROM6, putative	protein coding	ROM6	814207	Q8IDP3	
PF3D7_1345300	PF3D7_1345300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	9222031	C0H5H3	
PF3D7_1345400	PF3D7_1345400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813784	C0H5H4	
PF3D7_1345500	PF3D7_1345500.1	ubiquitin-conjugating enzyme E2	protein coding	UBC	813785	Q8IDP1	
PF3D7_1345600	PF3D7_1345600.1	inner membrane complex protein	protein coding	N/A	813786	Q8IDP0	
PF3D7_1345700	PF3D7_1345700.1	isocitrate dehydrogenase [NADP], mitochondrial	protein coding	IDH	814208	Q8I6T2	
PF3D7_1345800	PF3D7_1345800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814209	Q8IDN9	
PF3D7_1345900	PF3D7_1345900.1	kinetochore protein SPC25, putative	protein coding	SPC25	813787	C0H5H5	
PF3D7_1346000	PF3D7_1346000.1	dynactin subunit 2, putative	protein coding	N/A	813789	Q8IDN7	
PF3D7_1346100	PF3D7_1346100.1	protein transport protein SEC61 subunit alpha	protein coding	SEC61	813790	Q8IDN6	
PF3D7_1346200	PF3D7_1346200.1	nuclear import protein MOG1, putative	protein coding	N/A	813791	Q8IDN5	
PF3D7_1346300	PF3D7_1346300.1	DNA/RNA-binding protein Alba 2	protein coding	ALBA2	813792	Q8IDN4	
PF3D7_1346400	PF3D7_1346400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813793	C0H5H6	
PF3D7_1346500	PF3D7_1346500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814210	Q8IDN2	
PF3D7_1346600	PF3D7_1346600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814211	Q8IDN1	
PF3D7_1346700	PF3D7_1346700.1	6-cysteine protein	protein coding	P48/45	814212	Q8I6T1	
PF3D7_1346800	PF3D7_1346800.1	6-cysteine protein	protein coding	P47	814213	Q8IDN0	
PF3D7_1346900	PF3D7_1346900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814214	Q8IDM9	
PF3D7_1347000	PF3D7_1347000.1	WD repeat-containing protein 92, putative	protein coding	WDR92	814215	Q8IDM8	
PF3D7_1347100	PF3D7_1347100.1	DNA topoisomerase 3, putative	protein coding	TOP3	814216	Q8IDM7	
PF3D7_1347200	PF3D7_1347200.1	nucleoside transporter 1	protein coding	NT1	814217	Q8IDM6	
PF3D7_1347300	PF3D7_1347300.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	813794	Q8IDM5	
PF3D7_1347400	PF3D7_1347400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813795	Q8IDM4	
PF3D7_1347500	PF3D7_1347500.1	DNA/RNA-binding protein Alba 4	protein coding	ALBA4	813796	Q8IDM3	
PF3D7_1347600	PF3D7_1347600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	9221981	C0H5H7	
PF3D7_1347700	PF3D7_1347700.1	ethanolamine-phosphate cytidylyltransferase	protein coding	ECT	814218	Q8IDM2	
PF3D7_1347800	PF3D7_1347800.1	leucine-rich repeat protein	protein coding	LRR4.1	813797	Q8IDM1	
PF3D7_1347900	PF3D7_1347900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813798	Q8IDM0	
PF3D7_1348000	PF3D7_1348000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813800	Q8IDL9	
PF3D7_1348100	PF3D7_1348100.1	GTPase, putative	protein coding	N/A	813801	Q8IDL8	
PF3D7_1348200	PF3D7_1348200.1	step II splicing factor, putative	protein coding	N/A	813802	Q8IDL7	
PF3D7_1348300	PF3D7_1348300.1	elongation factor Tu, putative	protein coding	N/A	813803	Q8IDL6	
PF3D7_1348400	PF3D7_1348400.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	814219	Q8IDL5	
PF3D7_1348500	PF3D7_1348500.1	TBC domain protein, putative	protein coding	N/A	813804	Q8IDL4	
PF3D7_1348600	PF3D7_1348600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814220	Q8IDL3	
PF3D7_1348700	PF3D7_1348700.1	WD repeat-containing protein 16, putative	protein coding	WDR16	813805	Q8IDL2	
PF3D7_1348800	PF3D7_1348800.1	E1-E2 ATPase, putative	protein coding	N/A	813806	Q8IDL1	
PF3D7_1348900	PF3D7_1348900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814221	Q8IDL0	
PF3D7_1349000	PF3D7_1349000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813807	C0H5H8	
PF3D7_1349100	PF3D7_1349100.1	nucleoside diphosphate hydrolase, putative	protein coding	N/A	813808	Q8IDK8	
PF3D7_1349200	PF3D7_1349200.1	glutamate--tRNA ligase, putative	protein coding	N/A	814222	Q8IDK7	
PF3D7_1349300	PF3D7_1349300.1	tyrosine kinase-like protein	protein coding	TKL3	814223	Q8IDK6	
PF3D7_1349400	PF3D7_1349400.1	cytidine and deoxycytidylate deaminase, putative	protein coding	N/A	814224	Q8IDK5	
PF3D7_1349500	PF3D7_1349500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813809	Q8IDK4	
PF3D7_1349600	PF3D7_1349600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813811	Q8IDK3	
PF3D7_1349700	PF3D7_1349700.1	peptidase, putative	protein coding	N/A	814225	Q8IDK2	
PF3D7_1349800	PF3D7_1349800.1	nucleolar preribosomal associated cytoplasmic ATPase, putative	protein coding	N/A	814226	Q8IDK1	
PF3D7_1349900	PF3D7_1349900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813812	Q8IDK0	
PF3D7_1350000	PF3D7_1350000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813813	Q8IDJ9	
PF3D7_1350100	PF3D7_1350100.1	lysine--tRNA ligase	protein coding	KRS1	814227	Q8IDJ8	
PF3D7_1350200	PF3D7_1350200.1	small nuclear ribonucleoprotein E, putative	protein coding	SNRPE	813814	Q8IDJ7	
PF3D7_1350300	PF3D7_1350300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814228	Q8IDJ6	
PF3D7_1350400	PF3D7_1350400.1	ubiquitin-activating enzyme E1, putative	protein coding	N/A	814229	C0H5H9	
PF3D7_1350500	PF3D7_1350500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814230	Q8IDJ4	
PF3D7_1350600	PF3D7_1350600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813815	Q8IDJ3	
PF3D7_1350700	PF3D7_1350700.1	N6-adenine-specific methylase, putative	protein coding	N/A	813816	C0H5I0	
PF3D7_1350800	PF3D7_1350800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814231	Q8IDJ1	
PF3D7_1350900	PF3D7_1350900.1	transcription factor with AP2 domain(s)	protein coding	ApiAP2	814232	Q8IDJ0	
PF3D7_1351000	PF3D7_1351000.1	phosphatidylinositol transfer protein, putative	protein coding	N/A	813817	Q8IDI9	
PF3D7_1351100	PF3D7_1351100.1	conserved protein, unknown function	protein coding	N/A	813818	Q8IDI8	
PF3D7_1351200	PF3D7_1351200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813819	Q8IDI7	
PF3D7_1351300	PF3D7_1351300.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	813820	Q8IDI6	
PF3D7_1351400	PF3D7_1351400.1	60S ribosomal protein L17, putative	protein coding	N/A	814233	Q8IDI5	
PF3D7_1351500	PF3D7_1351500.1	small nucleolar RNA snoR21	snoRNA encoding	N/A	N/A	N/A	
PF3D7_1351600	PF3D7_1351600.1	glycerol kinase	protein coding	GK	814234	Q8IDI4	
PF3D7_1351700	PF3D7_1351700.1	inner membrane complex protein 1f, putative	protein coding	IMC1f	813822	Q8IDI3	
PF3D7_1351800	PF3D7_1351800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814235	Q8IDI2	
PF3D7_1351800	PF3D7_1351800.2	conserved Plasmodium protein, unknown function	protein coding	N/A	814235	Q8IDI2	
PF3D7_1351900	PF3D7_1351900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813823	C0H5I1	
PF3D7_1352000	PF3D7_1352000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813824	Q8IDI0	
PF3D7_1352100	PF3D7_1352100.1	ABC transporter B family member 6, putative	protein coding	ABCB6	814236	Q8IDH9	
PF3D7_1352200	PF3D7_1352200.1	U3 small nucleolar RNA-associated protein 15, putative	protein coding	UTP15	813825	Q8IDH8	
PF3D7_1352300	PF3D7_1352300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813826	Q8IDH7	
PF3D7_1352400	PF3D7_1352400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813827	C0H5I2	
PF3D7_1352500	PF3D7_1352500.1	thioredoxin-related protein, putative	protein coding	N/A	814237	Q8IDH5	
PF3D7_1352600	PF3D7_1352600.1	protein kinase, putative	protein coding	N/A	813828	C0H5I3	
PF3D7_1352700	PF3D7_1352700.1	P-loop containing nucleoside triphosphate hydrolase, putative	protein coding	N/A	814238	Q8IDH3	
PF3D7_1352800	PF3D7_1352800.1	vacuolar fusion protein MON1, putative	protein coding	MON1	814239	Q8IDH2	
PF3D7_1352900	PF3D7_1352900.1	Plasmodium exported protein, unknown function	protein coding	N/A	813829	Q8IDH1	
PF3D7_1353000	PF3D7_1353000.1	tryptophan-rich protein, pseudogene	protein coding	LysTrpA	813830	Q8IDH0	
PF3D7_1353100	PF3D7_1353100.1	Plasmodium exported protein, unknown function	protein coding	N/A	814240	Q8IDG9	
PF3D7_1353200	PF3D7_1353200.1	membrane associated histidine-rich protein	protein coding	MAHRP2	814241	Q8IDG8	
PF3D7_1353300	PF3D7_1353300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	814242	Q8IDG7	
PF3D7_1353400	PF3D7_1353400.1	Ran-binding protein, putative	protein coding	N/A	814243	Q8IDG6	
PF3D7_1353500	PF3D7_1353500.1	RNA polymerase II transcription factor B subunit 4, putative	protein coding	TFB4	814244	Q8IDG5	
PF3D7_1353600	PF3D7_1353600.1	ER lumen protein retaining receptor	protein coding	ERD2	813646	Q76NM1	
